year,,,,,,,Male,,,,,,,,,,,,,Female,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,"224,769",,,,,,,,,,,,,"138,626",,,,,,,,,,,,"363,395",,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,"233,055",,,,,,,,,,,,,"160,558",,,,,,,,,,,,"393,613",,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,"251,358",,,,,,,,,,,,,"170,499",,,,,,,,,,,,"421,857",,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,"267,871",,,,,,,,,,,,,"195,813",,,,,,,,,,,,"463,684",,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,"286,161",,,,,,,,,,,,,"205,343",,,,,,,,,,,,"491,504",,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,"266,937",,,,,,,,,,,,,"196,709",,,,,,,,,,,,"463,646",,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,213465,,,,,,,,,,,,,147772,,,,,,,,,,,,"361,237",,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,"174,710",,,,,,,,,,,,,"100,758",,,,,,,,,,,,"275,468",,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,"204,732",,,,,,,,,,,,,"133,400",,,,,,,,,,,,"338,132",,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,"255,303",,,,,,,,,,,,,"129,994",,,,,,,,,,,,385297,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,"257,972",,,,,,,,,,,,,"117,426",,,,,,,,,,,,"375,398",,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,"218,818",,,,,,,,,,,,,"165,108",,,,,,,,,,,,"383,926",,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,"290,688",,,,,,,,,,,,,"236,017",,,,,,,,,,,,"526,705",,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,"286,983",,,,,,,,,,,,,"213,294",,,,,,,,,,,,"500,277",,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,"288,155",,,,,,,,,,,,,"221,801",,,,,,,,,,,,"509,956",,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,"361,611",,,,,,,,,,,,,"241,256",,,,,,,,,,,,"602,867",,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,"352,059",,,,,,,,,,,,,"384,156",,,,,,,,,,,,"736,215",,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,"439,270",,,,,,,,,,,,,"363,822",,,,,,,,,,,,"803,092",,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,"449,058",,,,,,,,,,,,,"348,558",,,,,,,,,,,,"797,616",,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,"445,627",,,,,,,,,,,,,"344,491",,,,,,,,,,,,"790,118",,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,"289,158",,,,,,,,,,,,,"249,813",,,,,,,,,,,,"538,970",,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,"399,091",,,,,,,,,,,,,"353,911",,,,,,,,,,,,"753,002",,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,"509,585",,,,,,,,,,,,,"430,633",,,,,,,,,,,,"940,218",,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,"624,928",,,,,,,,,,,,,"548,144",,,,,,,,,,,,"1,173,072",,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,"634,392",,,,,,,,,,,,,"562,799",,,,,,,,,,,,"1,197,191",,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,"124,048",,,,,,,,,,,,,"106,037",,,,,,,,,,,,"230,085",,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,"105,410",,,,,,,,,,,,,"45,552",,,,,,,,,,,,"150,962",,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,358683,,,,,,,,,,,,,256012,,,,,,,,,,,,"614,869",,,,,,,,,,,,,,,,,,,,,,,